longShortRatio,timestamp,symbol
1.5183,1653612300000,BTCUSDT
1.5253,1653612600000,BTCUSDT
1.5316,1653612900000,BTCUSDT
1.5342,1653613200000,BTCUSDT
1.5413,1653613500000,BTCUSDT
1.5569,1653613800000,BTCUSDT
1.5641,1653614100000,BTCUSDT
1.5920,1653614400000,BTCUSDT
1.5907,1653614700000,BTCUSDT
1.5988,1653615000000,BTCUSDT
1.6110,1653615300000,BTCUSDT
1.6323,1653615600000,BTCUSDT
1.6553,1653615900000,BTCUSDT
1.6717,1653616200000,BTCUSDT
1.6610,1653616500000,BTCUSDT
1.6652,1653616800000,BTCUSDT
1.6575,1653617100000,BTCUSDT
1.6695,1653617400000,BTCUSDT
1.6724,1653617700000,BTCUSDT
1.6752,1653618000000,BTCUSDT
1.7086,1653618300000,BTCUSDT
1.7086,1653618600000,BTCUSDT
1.7100,1653618900000,BTCUSDT
1.7196,1653619200000,BTCUSDT
1.7255,1653619500000,BTCUSDT
1.7270,1653619800000,BTCUSDT
1.7337,1653620100000,BTCUSDT
1.7427,1653620400000,BTCUSDT
1.7609,1653620700000,BTCUSDT
1.7663,1653621000000,BTCUSDT
